NumberOfFlows,Deadline,DCT,RealFlow
80,100.000us,0.5162,0.251
80,200.000us,0.7379,0.4132
80,300.000us,0.8658,0.5135
80,400.000us,0.924,0.597
80,500.000us,0.9727,0.6458
80,600.000us,0.9919,0.7083
80,700.000us,0.9994,0.7541
80,800.000us,1,0.8026
80,900.000us,1,0.8359
80,1.000ms,1,0.8718
80,1.100ms,1,0.9046
80,1.200ms,1,0.9235
80,1.300ms,1,0.9379
80,1.400ms,1,0.9551
80,1.500ms,1,0.9678
80,1.600ms,1,0.9781
80,1.700ms,1,0.9883
80,1.800ms,1,0.9925
80,1.900ms,1,0.994
80,2.000ms,1,0.9959
80,2.100ms,1,0.999
80,2.200ms,1,0.9996
80,2.300ms,1,0.9997
80,2.400ms,1,1
80,2.500ms,1,1
80,2.600ms,1,1
80,2.700ms,1,1
80,2.800ms,1,1
80,2.900ms,1,1
80,3.000ms,1,1
90,100.000us,0.490844,0.228178
90,200.000us,0.701511,0.386489
90,300.000us,0.840978,0.482222
90,400.000us,0.908978,0.567733
90,500.000us,0.953244,0.620533
90,600.000us,0.983111,0.677511
90,700.000us,0.995911,0.716622
90,800.000us,0.999289,0.761778
90,900.000us,1,0.803911
90,1.000ms,1,0.834578
90,1.100ms,1,0.867289
90,1.200ms,1,0.890756
90,1.300ms,1,0.913156
90,1.400ms,1,0.9312
90,1.500ms,1,0.947378
90,1.600ms,1,0.957689
90,1.700ms,1,0.969956
90,1.800ms,1,0.980089
90,1.900ms,1,0.986933
90,2.000ms,1,0.988711
90,2.100ms,1,0.993511
90,2.200ms,1,0.995467
90,2.300ms,1,0.997867
90,2.400ms,1,0.998844
90,2.500ms,1,1
90,2.600ms,1,1
90,2.700ms,1,1
90,2.800ms,1,1
90,2.900ms,1,1
90,3.000ms,1,1
100,100.000us,0.47384,0.20392
100,200.000us,0.68264,0.36288
100,300.000us,0.81872,0.45736
100,400.000us,0.88008,0.54416
100,500.000us,0.93704,0.60024
100,600.000us,0.9712,0.6516
100,700.000us,0.99112,0.69472
100,800.000us,0.99832,0.73288
100,900.000us,0.99952,0.7716
100,1.000ms,1,0.79944
100,1.100ms,1,0.83336
100,1.200ms,1,0.86744
100,1.300ms,1,0.88904
100,1.400ms,1,0.90792
100,1.500ms,1,0.92312
100,1.600ms,1,0.94232
100,1.700ms,1,0.94544
100,1.800ms,1,0.9604
100,1.900ms,1,0.9728
100,2.000ms,1,0.97992
100,2.100ms,1,0.98544
100,2.200ms,1,0.9908
100,2.300ms,1,0.99248
100,2.400ms,1,0.99384
100,2.500ms,1,0.99688
100,2.600ms,1,0.9988
100,2.700ms,1,0.99936
100,2.800ms,1,1
100,2.900ms,1,1
100,3.000ms,1,1
110,100.000us,0.467564,0.191491
110,200.000us,0.665309,0.340727
110,300.000us,0.796582,0.430909
110,400.000us,0.866327,0.518909
110,500.000us,0.923855,0.570327
110,600.000us,0.957964,0.622473
110,700.000us,0.982836,0.659055
110,800.000us,0.995055,0.703927
110,900.000us,0.997964,0.737164
110,1.000ms,1,0.768218
110,1.100ms,1,0.804
110,1.200ms,1,0.833818
110,1.300ms,1,0.858327
110,1.400ms,1,0.884945
110,1.500ms,1,0.901964
110,1.600ms,1,0.916218
110,1.700ms,1,0.932655
110,1.800ms,1,0.945455
110,1.900ms,1,0.950764
110,2.000ms,1,0.9616
110,2.100ms,1,0.973527
110,2.200ms,1,0.982255
110,2.300ms,1,0.988073
110,2.400ms,1,0.989673
110,2.500ms,1,0.992364
110,2.600ms,1,0.995127
110,2.700ms,1,0.996218
110,2.800ms,1,0.998036
110,2.900ms,1,0.999345
110,3.000ms,1,0.999345
120,100.000us,0.445333,0.1746
