FlowName,Priority,Expected-Delay-RTA,Expected-Delay-FRC,Actual-Delay,Relative-Deadline,Path
Flow 8,1,450.000us,350.000us,350.000us,10.000ms,Switch 1--Link 1--Switch 4--Link 4--Switch 5--Link 10--Switch 11
Flow 9,3,73.000ms,7.480ms,7.480ms,1.000s,Switch 3--Link 3--Switch 4--Link 4--Switch 5--Link 11--Switch 12
Flow 10,4,53.400ms,34.480ms,34.480ms,100.000ms,Switch 17--Link 14--Switch 6--Link 5--Switch 4--Link 4--Switch 5--Link 12--Switch 13
Flow 11,4,56.400ms,44.480ms,44.480ms,100.000ms,Switch 18--Link 15--Switch 6--Link 5--Switch 4--Link 4--Switch 5--Link 12--Switch 13
Flow 12,4,59.400ms,54.480ms,54.480ms,100.000ms,Switch 19--Link 16--Switch 6--Link 5--Switch 4--Link 4--Switch 5--Link 12--Switch 13
Flow 14,2,1.540ms,860.000us,860.000us,20.000ms,Switch 2--Link 2--Switch 4--Link 4--Switch 5--Link 13--Switch 14
